Time [min],D10,D11,D12,D13
0,158,162,159,191
0.25,156,159,159,190
0.5,153,158,157,191
0.75,155,158,156,190
1,154,155,155,189
1.25,154,157,154,189
1.5,153,156,156,190
1.75,153,156,154,187
2,152,156,153,188
2.25,153,155,153,188
2.5,151,155,154,189
2.75,152,155,153,186
3,152,154,152,186
3.25,153,155,152,186
3.5,152,153,153,186
3.75,152,153,153,187
4,150,154,152,185
4.25,151,153,151,185
4.501666667,151,153,151,186
4.775,150,152,152,184
5,150,153,151,186
5.251666667,149,152,151,184
5.5,149,153,150,185
5.75,149,153,150,185
6,148,151,150,183
6.25,147,152,151,184
6.5,149,151,149,184
6.75,148,151,148,182
7,148,151,149,185
7.25,148,150,150,183
7.5,148,152,149,182
7.75,147,152,148,183
8,148,151,149,183
8.25,148,151,148,182
8.5,147,149,148,182
8.75,147,150,148,181
9,147,151,149,183
9.25,147,150,147,182
9.5,146,150,147,182
9.751666667,147,151,147,181
10,146,150,148,184
10.25,146,150,147,179
10.5,146,150,147,182
10.75,146,149,146,181
11,146,148,147,181
11.25,146,148,146,179
11.5,145,149,146,182
11.75,145,148,146,180
12,146,149,147,180
12.25,145,147,145,179
12.5,145,149,146,179
12.75,144,149,146,181
13,145,148,145,181
13.25,145,148,144,178
13.5,146,148,146,179
13.75,144,148,146,179
14,144,147,143,181
14.25,143,147,144,179
14.5,145,147,145,177
14.75,144,147,144,178
15,144,145,145,177
15.25,143,147,144,178
15.5,143,146,144,178
15.75,144,148,145,179
16,144,146,144,177
16.25,144,148,144,177
16.5,144,146,145,177
16.75,143,147,144,178
17,143,145,143,177
17.25166667,144,146,143,177
17.5,143,146,143,178
17.75,144,145,142,177
18,142,146,143,176
18.25,143,146,142,177
18.5,142,145,143,179
18.75,143,145,143,177
19,143,145,143,179
19.25,142,145,143,178
19.50166667,142,146,142,176
19.75,142,146,143,177
20.00166667,143,145,143,176
20.25,142,145,144,178
20.5,141,145,143,177
20.75166667,142,145,143,176
21,142,145,144,177
21.25,144,146,143,176
21.5,143,146,143,176
21.75,143,145,142,177
22,142,146,143,176
22.25,143,145,143,175
22.5,142,145,143,175
22.75,142,146,143,175
23,142,144,143,176
23.25,142,144,141,175
23.5,141,145,142,175
23.75,142,144,142,176
24,143,146,141,174
24.25,141,143,142,175
24.5,142,145,141,174
24.75,142,144,142,174
25,141,144,142,174
25.25,141,145,140,175
25.5,142,145,141,174
25.75,142,144,140,176
26,143,144,142,176
26.25,142,145,141,172
26.5,141,145,141,175
26.75166667,140,145,142,172
27,141,144,141,174
27.25,141,145,141,173
27.50166667,140,144,141,173
27.75,141,145,142,172
28.00166667,141,143,141,172
28.25,141,143,141,176
28.5,141,144,140,176
28.75,141,144,140,174
29,142,144,140,173
29.25166667,141,142,141,173
29.5,141,143,141,174
29.75166667,142,143,141,173
30,141,143,141,172
