Time [min],Control,"B7,1nM","B7,2nM",Substrate
0,275,270,274,309
0.25,272,268,275,308
0.5,277,266,275,309
0.75,274,267,273,307
1,273,263,269,306
1.25,272,267,272,306
1.5,271,266,271,305
1.75,274,270,272,303
2,272,269,268,306
2.25,272,265,269,303
2.5,273,266,271,305
2.75,272,265,265,304
3,273,266,269,305
3.25,273,267,270,302
3.5,270,266,268,305
3.75,271,265,265,304
4,273,264,266,303
4.25,269,265,265,305
4.5,267,260,267,302
4.75,271,264,268,304
5.001666667,271,263,266,302
5.251666667,272,264,262,304
5.5,268,262,268,303
5.751666667,271,262,265,304
6,270,263,267,303
6.25,270,261,266,302
6.5,269,261,268,306
6.751666667,267,264,268,301
7,268,260,264,304
7.25,267,265,264,300
7.5,269,262,264,303
7.75,269,261,266,301
8,270,259,264,302
8.25,267,262,265,300
8.5,268,261,266,301
8.75,268,258,263,302
9,268,257,266,303
9.25,266,258,264,300
9.501666667,268,258,263,301
9.75,267,258,263,300
10,267,261,263,300
10.25,268,260,263,298
10.5,265,259,263,299
10.75,269,258,263,298
11,265,258,260,301
11.25,265,258,264,301
11.5,270,261,262,300
11.75,265,255,264,298
12,265,254,261,297
12.25,266,257,262,297
12.5,266,257,263,298
12.75,265,256,263,298
13,264,255,260,299
13.25,265,256,259,299
13.5,263,255,261,296
13.75,264,257,262,299
14,265,255,262,300
14.25,264,258,262,298
14.5,265,256,262,299
14.75,264,256,259,298
15,265,254,262,297
15.25,263,255,263,298
15.5,263,257,261,295
15.75,267,255,260,299
16,262,258,261,295
16.25,264,258,261,300
16.5,262,256,260,298
16.75,263,254,261,299
17,266,255,259,295
17.25,264,256,259,296
17.5,266,254,260,298
17.75,262,255,260,297
18,263,256,258,294
18.25,261,253,259,297
18.5,264,255,261,296
18.75,263,255,259,296
19,264,255,260,296
19.25,262,254,257,297
19.5,262,255,260,296
19.75,261,255,258,295
20,263,253,258,296
20.25,265,251,259,296
20.5,263,255,259,298
20.75,262,253,258,295
21,261,254,258,294
21.25,258,251,256,297
21.5,264,254,259,293
21.75,260,254,258,295
22,263,251,257,295
22.25,259,252,256,296
22.5,265,253,259,296
22.75,261,252,258,294
23,261,255,257,294
23.25,259,253,259,296
23.50166667,263,254,259,291
23.75,259,252,256,295
24,260,251,256,297
24.25,262,252,258,292
24.50166667,258,253,258,294
24.75166667,260,253,253,292
25,263,252,256,294
25.25,259,253,259,295
25.5,263,254,256,295
25.75166667,262,252,254,295
26.00166667,261,254,257,296
26.25,260,254,255,293
26.50166667,261,252,255,296
26.75,259,250,257,298
27,260,253,256,295
27.25,262,251,254,293
27.5,260,253,256,293
27.75,260,254,254,294
28.00166667,260,252,255,294
28.25166667,260,252,256,293
28.5,262,251,257,292
28.75,260,252,258,294
29,261,254,255,296
29.25166667,260,252,256,296
29.50166667,261,251,253,292
29.75,256,252,256,291
30,258,251,255,292
