Time [min],Control,B7
0.00,213,221
0.25,215,229
0.50,209,223
0.75,209,224
1.00,214,220
1.25,208,227
1.50,212,217
1.75,209,223
2.00,211,220
2.25,217,221
2.50,212,228
2.75,209,214
3.00,206,220
3.25,210,222
3.50,206,218
3.75,201,218
4.00,212,221
4.25,209,219
4.50,205,216
4.75,211,217
5.00,207,220
5.25,208,219
5.50,208,217
5.75,208,216
6.00,208,215
6.25,211,217
6.50,205,220
6.75,211,214
7.00,212,223
7.25,207,214
7.50,208,224
7.75,208,214
8.01,209,216
8.26,209,213
8.51,204,217
8.76,210,217
9.01,203,211
9.26,203,217
9.51,210,216
9.76,205,211
10.01,204,221
10.26,200,214
10.51,206,211
10.76,206,218
11.01,209,217
11.26,205,218
11.51,207,219
11.76,204,212
12.01,206,217
12.26,201,216
12.51,206,216
12.76,202,216
13.01,205,212
13.26,209,217
13.51,203,214
13.76,205,212
14.01,205,213
14.26,203,211
14.51,208,217
14.76,204,216
15.01,206,212
15.26,204,216
15.51,205,217
15.76,205,213
16.01,209,208
16.26,208,207
16.51,202,210
16.76,209,212
17.01,203,207
17.26,207,214
17.51,209,211
17.76,200,210
18.01,203,211
18.26,203,210
18.51,202,215
18.76,203,215
19.01,204,214
19.26,205,210
19.51,207,214
19.76,206,216
