Time [s],D1,D2,D3,D4,D5
0,254,270,256,274,243
0.250183333,252,260,248,267,236
0.500333333,249,255,246,260,238
0.750466667,250,249,238,251,230
1.000733333,255,240,238,254,231
1.251,251,245,236,247,231
1.5013,247,248,236,241,236
1.751416667,245,237,237,244,231
2.0017,244,240,235,245,234
2.251983333,247,239,227,236,230
2.502083333,247,239,232,242,230
2.752133333,249,235,232,243,232
3.002466667,249,236,233,239,227
3.252566667,238,241,231,243,227
3.5028,245,236,232,237,225
3.753066667,241,238,226,242,232
4.00345,237,234,223,238,236
4.253566667,245,239,223,237,227
4.5037,242,237,225,240,231
4.75385,240,234,220,240,220
5.00405,239,234,223,240,225
5.254333333,236,234,226,242,228
5.5045,240,232,231,237,221
5.754783333,240,229,223,240,226
6.00505,235,232,222,239,224
6.255266667,241,232,220,240,224
6.505466667,237,234,221,230,225
6.75555,241,229,222,243,224
7.005633333,238,235,215,236,226
7.256016667,236,232,222,247,228
7.5062,239,229,217,238,221
7.756283333,233,239,213,240,230
8.006366667,235,229,216,240,232
8.256483333,239,229,213,234,222
8.506683333,235,235,218,238,225
8.756916667,238,228,213,237,229
9.007133333,236,221,215,235,227
9.257233333,236,225,210,236,232
9.5073,230,226,211,236,237
9.757466667,237,224,210,245,227
10.00753333,231,230,208,234,229
10.25763333,233,231,208,235,232
10.50768333,236,232,215,234,230
10.7579,235,224,208,235,232
11.00801667,233,231,209,239,231
11.25835,232,229,211,242,227
11.50855,237,228,208,237,235
11.75885,235,228,207,235,232
12.00906667,242,231,209,240,239
12.25913333,239,229,208,242,229
12.50931667,231,227,210,240,234
12.7596,229,229,201,244,230
13.00971667,241,229,209,240,230
13.26005,237,227,199,240,226
13.51033333,234,223,202,231,228
13.76045,234,223,202,241,232
14.01073333,228,227,204,239,233
14.26086667,235,225,197,238,227
14.51105,238,223,199,227,229
14.76128333,238,228,198,229,233
15.01138333,229,220,203,239,234
15.26158333,231,231,186,236,227
15.5117,233,227,202,243,227
15.76196667,231,229,192,241,229
16.01211667,235,226,197,234,230
16.26228333,229,223,205,239,223
16.5124,230,223,203,239,229
16.76251667,224,226,195,231,228
17.01263333,236,220,202,238,231
17.2628,235,228,199,237,229
17.51298333,234,222,202,233,230
17.76316667,234,222,198,236,232
18.01335,234,223,197,238,230
18.2635,234,227,194,239,229
18.51376667,239,222,196,237,224
18.76401667,236,219,196,250,228
19.01408333,233,229,199,230,232
19.26423333,234,225,196,235,226
19.51428333,227,224,196,234,234
19.76458333,234,221,197,236,232
20.01476667,226,227,194,242,219
20.26503333,237,222,195,234,226
20.51518333,231,222,193,238,221
20.7653,234,218,197,240,228
21.01545,238,221,201,236,219
21.26573333,235,222,199,239,226
21.51581667,230,213,202,232,224
21.766,232,226,195,234,225
22.01626667,229,224,198,237,229
22.2665,239,220,198,235,222
22.51673333,237,215,199,234,227
22.767,234,217,194,235,226
23.01726667,237,218,197,233,228
23.26741667,230,223,193,230,222
23.5177,229,212,201,235,225
23.76796667,233,221,194,237,224
24.01813333,233,222,193,235,219
24.26821667,232,217,195,234,227
24.5185,233,214,201,233,231
24.76865,230,214,199,232,221
25.01876667,229,214,198,235,219
25.26901667,235,217,191,234,230
25.51926667,228,226,199,238,225
25.76945,232,215,195,237,222
26.01976667,230,216,191,233,231
26.27006667,230,213,198,238,225
26.52028333,238,211,198,239,223
26.77041667,235,213,195,241,223
27.02063333,231,215,196,238,225
27.27086667,231,211,198,234,224
27.52105,233,215,197,238,226
27.77125,227,214,197,242,208
28.02156667,228,221,195,232,216
28.27173333,228,219,195,229,222
28.52191667,231,224,194,237,222
28.77205,229,215,197,235,223
29.02226667,238,211,198,231,223
29.27258333,232,215,192,231,220
29.52286667,236,209,201,232,224
29.77313333,228,216,194,229,224
