time [min],substrate only,B1,B4,B7,M1
0.00,229,227,256,242,245
0.25,226,220,252,239,229
0.50,226,214,250,250,238
0.75,227,216,243,241,235
1.00,225,215,242,249,241
1.25,218,220,251,232,235
1.50,215,215,239,232,232
1.75,220,216,243,240,233
2.00,225,216,240,235,224
2.25,222,209,237,228,233
2.50,214,204,237,236,231
2.75,213,210,237,239,228
3.00,211,205,232,229,226
3.25,211,206,238,228,230
3.50,208,204,236,219,226
3.75,211,206,235,221,219
4.00,214,204,234,223,217
4.25,206,198,227,221,227
4.50,210,198,239,217,221
4.75,212,200,229,212,219
5.00,212,198,233,214,212
5.25,201,198,233,216,218
5.50,207,199,229,215,222
5.75,208,192,222,204,212
6.00,208,194,229,211,219
6.25,203,200,230,211,219
6.50,208,196,229,204,217
6.76,214,192,226,206,216
7.01,203,195,222,207,217
7.26,204,189,229,208,213
7.51,208,193,225,197,204
7.76,208,196,229,194,206
8.01,202,197,234,197,206
8.26,208,197,222,197,212
8.51,208,192,223,203,211
8.76,204,187,224,203,220
9.01,202,189,223,207,205
9.26,205,188,222,196,203
9.51,208,195,223,200,209
9.76,201,194,222,198,213
10.01,200,187,220,205,207
10.26,201,191,226,199,203
10.51,203,189,226,199,208
10.76,203,192,221,200,205
11.01,198,191,217,197,201
11.26,200,194,220,198,212
11.51,202,190,223,194,208
11.76,199,187,229,198,207
12.01,200,195,221,191,203
12.26,202,185,223,198,209
12.51,204,188,222,205,201
12.76,197,188,222,193,207
13.01,202,189,218,198,203
13.26,195,188,218,194,205
13.51,198,188,216,196,201
13.76,200,188,220,194,205
14.01,201,189,218,189,200
14.26,200,184,218,189,200
14.51,195,190,222,195,200
14.76,201,187,216,190,195
15.01,200,183,216,192,205
15.26,198,184,216,196,203
15.51,194,182,215,193,199
15.76,199,185,219,187,201
16.01,202,183,216,198,204
16.26,198,188,213,200,204
16.51,194,189,215,189,205
16.76,201,185,210,198,196
17.01,198,188,222,184,203
17.26,200,184,213,185,197
17.51,197,188,212,194,201
17.76,203,184,217,189,196
18.01,196,177,217,191,198
18.26,197,187,216,188,194
18.51,194,182,216,194,196
18.76,201,180,210,183,201
19.01,195,185,218,197,197
19.26,199,185,208,193,190
19.51,196,185,218,189,193
19.77,197,186,221,190,194
20.02,196,181,211,190,188
20.27,193,181,211,189,190
20.52,198,183,208,188,196
20.77,195,179,208,191,187
21.02,195,182,216,190,200
21.27,198,180,207,191,198
21.52,195,186,212,191,191
